"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Lamar Jackson","QB","BAL","25.1","17.4","26","23.6","33.4","19.9","34.4","24.2","23.6","32.9","15.9","22.6","25.4","BYE","36.1","21.5","29.4","","25.7","411.4"
"2","Josh Allen","QB","BUF","31.2","9.8","30.9","7.3","14.6","24.4","21","20.8","23.1","20.2","25","BYE","28.4","51.9","41.3","12.2","23","","24.1","385"
"3","Ja'Marr Chase","WR","CIN","12.2","7.5","29.8","17.5","41.3","12.2","17.6","20.4","11.3","55.4","26.5","BYE","20.6","45.1","18.4","22.4","19.2","","23.6","377.4"
"4","Joe Burrow","QB","CIN","8.1","17.2","25.4","17.3","34.8","19.8","14.9","13.9","30.1","33.7","29","BYE","20.3","25.6","18.8","22","37","","23","367.8"
"5","Jayden Daniels","QB","WAS","28.2","13.4","28.1","25","20.7","21","5.2","22.2","19.9","8.6","14.4","32.4","28.6","BYE","23.6","36.4","32.8","","22.5","360.6"
"6","Baker Mayfield","QB","TB","29.7","19.8","9.5","28.9","23.4","28.9","29","24.3","18","8.9","BYE","18.7","12.2","21","29","23.3","34.6","","22.4","359.2"
"7","Saquon Barkley","RB","PHI","33.2","17.6","33.6","13.6","BYE","7.4","26.7","12.1","32.9","8.8","33.8","46.2","19.7","14.4","9.4","27","18.9","","22.2","355.3"
"8","Jalen Hurts","QB","PHI","18.4","24.8","11.9","16.3","BYE","21.9","22.8","35.1","29.9","30.7","18.7","15.1","17.6","24.2","28.1","4.5","-","","21.3","320.1"
"9","Jared Goff","QB","DET","12.4","10.8","15.6","27.2","BYE","25.1","18.8","15.5","9.6","12.8","34.6","10.8","16.9","23","41.1","25.3","25.8","","20.3","325.2"
"10","Jahmyr Gibbs","RB","DET","17.4","17.6","16.3","19.8","BYE","12.1","32","20.3","14.6","12.8","19.3","24.9","10.4","19.3","28.4","25.4","26.3","","19.8","316.9"
"11","Chris Godwin","WR","TB","22.3","24.7","17.3","12.9","11.6","35.5","13.5","-","-","-","BYE","-","-","-","-","-","-","","19.7","137.8"
"12","Sam Darnold","QB","SEA","15.6","20.9","23.2","21.5","5.3","-","17.3","18.2","21","9.4","23.6","21.1","19.6","34.6","12.2","22.9","25.8","","19.5","312.3"
"13","Bijan Robinson","RB","ATL","16.1","16.2","13.2","11.4","10.7","25.5","23.3","23.6","21.5","29.4","10.3","BYE","25.5","20.1","14.5","24.3","24.8","","19.4","310.4"
"14","Justin Jefferson","WR","MIN","15.9","23.3","20.1","20.5","15.2","BYE","21.4","19.5","21.6","9.8","14.1","4.7","16.9","32.2","20.3","36.4","17.2","","19.3","309.1"
"14","Tee Higgins","WR","CIN","-","-","6.9","12","29.3","14.7","18.2","-","-","-","29.8","BYE","17.9","4.3","19.8","19.8","40.1","","19.3","212.8"
"16","Derrick Henry","RB","BAL","10.6","16.6","30.4","35.9","16.6","25.2","25.2","14.7","26.3","14.1","10.5","14","14.1","BYE","6.7","20.9","24.5","","19.1","306.3"
"17","Alvin Kamara","RB","NO","22","44","15.7","24.9","12.6","17.4","8.4","18.2","27.5","15.9","12.9","BYE","15.9","12.9","17","-","-","","19","265.3"
"18","Amon-Ra St. Brown","WR","DET","4.3","22.9","20.5","20.8","BYE","13.7","25.2","8.7","18.6","18","38.7","12.2","12.3","10.3","37.3","19","20","","18.9","302.5"
