#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
1,LAMAR JACKSON,QB,BAL,25.1,17.4,26,23.6,33.4,19.9,34.4,24.2,23.6,32.9,15.9,22.6,25.4,BYE,36.1,21.5,29.4,,25.7,411.4
2,JOSH ALLEN,QB,BUF,31.2,9.8,30.9,7.3,14.6,24.4,21,20.8,23.1,20.2,25,BYE,28.4,51.9,41.3,12.2,23,,24.1,385.0
3,JOE BURROW,QB,CIN,8.1,17.2,25.4,17.3,34.8,19.8,14.9,13.9,30.1,33.7,29,BYE,20.3,25.6,18.8,22,37,,23.0,367.8
4,JAYDEN DANIELS,QB,WAS,28.2,13.4,28.1,25,20.7,21,5.2,22.2,19.9,8.6,14.4,32.4,28.6,BYE,23.6,36.4,32.8,,22.5,360.6
5,BAKER MAYFIELD,QB,TB,29.7,19.8,9.5,28.9,23.4,28.9,29,24.3,18,8.9,BYE,18.7,12.2,21,29,23.3,34.6,,22.4,359.2
6,JARED GOFF,QB,DET,12.4,10.8,15.6,26.2,BYE,25.1,18.8,15.5,9.6,12.8,34.6,10.8,16.9,23,41.1,25.3,25.8,,20.3,324.2
7,SAQUON BARKLEY,RB,PHI,31.2,13.6,29.6,11.6,BYE,5.4,24.7,11.1,29.9,7.8,31.8,42.2,17.7,14.4,7.4,27,16.9,,20.1,322.3
8,JALEN HURTS,QB,PHI,18.4,24.8,11.9,16.3,BYE,21.9,22.8,35.1,29.9,30.7,18.7,15.1,17.6,24.2,28.1,4.5,-,,21.3,320.1
9,SAM DARNOLD,QB,SEA,15.6,20.9,23.2,21.5,5.3,-,17.3,18.2,21,9.4,23.6,21.1,19.6,34.6,12.2,22.9,25.8,,19.5,312.3
10,BO NIX,QB,DEN,13,10.3,19.3,6.7,23.1,21.7,14.1,29.8,17.7,16.1,28.8,19.4,14.2,BYE,16.5,21,22.9,,18.4,294.7
11,PATRICK MAHOMES,QB,KC,15.1,14.9,17.4,14,14.4,BYE,14.1,19.2,24.5,16.5,17.8,28.8,16.6,14.1,15.8,23.7,26,,18.3,293.0
12,DERRICK HENRY,RB,BAL,10.6,15.6,29.4,32.9,15.6,25.2,24.2,13.7,25.3,13.1,10.5,14,11.1,BYE,6.7,18.9,22.5,,18.1,289.3
13,KYLER MURRAY,QB,ARI,14.2,28.5,15.8,10,25.1,12,21.2,22.2,4.8,28.7,BYE,11.3,17.2,20,10.1,21.4,18,,17.5,280.4
14,BROCK PURDY,QB,SF,10.3,15,25.8,15.6,15.1,24.1,20.2,26,BYE,23.8,19.4,-,2.2,22.1,5,22.1,32.3,,18.6,278.9
15,JAHMYR GIBBS,RB,DET,13.4,10.6,16.3,19.8,BYE,9.1,28,19.3,13.6,10.8,18.3,21.9,8.4,13.3,23.4,21.4,22.3,,16.9,269.9
16,JAMARR CHASE,WR,CIN,6.2,3.5,23.8,14.5,31.3,7.2,12.6,11.4,4.3,44.4,19.5,BYE,14.6,31.1,9.4,16.4,10.2,,16.3,260.4
17,JUSTIN HERBERT,QB,LAC,10.4,12,9,11.2,BYE,13.7,14.8,24.1,19.5,19.8,24.4,17.6,8,13.7,14.8,23.2,24.4,,16.3,260.4
18,GENO SMITH,QB,LV,18.8,17.9,13.4,22.6,22.6,14.5,17.8,9.1,25.1,BYE,16.7,13.4,12.4,13.3,5.5,23.4,8.3,,15.9,254.7
19,BIJAN ROBINSON,RB,ATL,11.1,12.2,11.2,7.4,7.7,22.5,20.3,16.6,14.5,26.4,6.3,BYE,19.5,18.1,13.5,22.3,21.8,,15.7,251.4
20,CALEB WILLIAMS,QB,CHI,7.2,9.4,19.3,11.5,23.6,29.6,BYE,9.9,9.2,6.3,16.2,26.9,26.1,14.1,9.9,22.8,7.6,,15.6,249.6
21,JOSH JACOBS,RB,GB,10.4,13.1,4.8,7.8,15.4,9,15.2,24.5,10.8,BYE,19.4,28.6,17.7,24.6,17.6,16.7,10.9,,15.4,246.5
22,JORDAN LOVE,QB,GB,17.4,-,-,31.2,17,26.6,18.8,6.7,11.9,BYE,21.2,14.7,19,14.5,17.6,11.5,14,,17.3,242.1
23,AARON RODGERS,QB,PIT,9.6,15.1,21,11.6,14.8,18.8,15,17.3,20.3,4,16.1,-,15,17.6,30.1,12.8,2.5,,15.1,241.6
24,KYREN WILLIAMS,RB,LAR,11.4,11.2,29.6,16.4,14.5,BYE,19.6,17.6,9.5,6.2,8.6,11.2,17.3,21.7,11.2,18.9,13.2,,14.9,238.1
25,CJ STROUD,QB,HOU,18.7,14.3,11.8,23.5,16.9,19.4,5.3,12.4,11.5,11.8,11.9,17.7,14.4,BYE,11.6,18.1,7.1,,14.1,226.4
26,JAMES COOK,RB,BUF,10.3,27.5,14.7,4.8,15.9,-,9.2,25.3,6.9,14.5,14.7,BYE,18,2.9,25.3,24.6,11.3,,15.1,225.9
27,MATTHEW STAFFORD,QB,LAR,15.7,6.6,12.8,5.9,13.4,BYE,5,25.8,18.9,10.7,27.8,19.2,15.6,20.8,8.2,7,9.2,,13.9,222.6
28,JUSTIN JEFFERSON,WR,MIN,11.9,19.3,14.1,14.5,9.2,BYE,14.4,11.5,14.6,4.8,8.1,2.7,9.9,25.2,13.3,26.4,9.2,,13.1,209.1
29,JAMES CONNER,RB,ARI,16.3,18.4,2.5,17.3,12,2.6,15.2,12.9,11.9,17.3,BYE,4.9,8.1,18.2,25.8,22.6,0.8,,12.9,206.8
30,DEVON ACHANE,RB,MIA,16,22.5,5.8,2.9,1.7,BYE,8.5,20.7,24.1,5.2,16.5,17.6,13,12.9,7.6,25,3.8,,12.7,203.8
31,JONATHAN TAYLOR,RB,IND,10.8,13.5,25.5,16.8,-,-,-,17.7,5.9,12.2,6,3.5,16.3,BYE,9.1,39.8,25.6,,15.6,202.7
32,JOE MIXON,RB,HOU,23.8,5,-,-,-,25.2,24.4,19.4,16.6,15,33.3,4.5,17.9,BYE,5.6,7.1,3.9,,15.5,201.7
33,CHASE BROWN,RB,CIN,2.3,3.1,6.9,21.2,13.4,12.4,5.3,9.4,21.7,13.4,14.3,BYE,16,18.3,23.3,10.9,9.1,,12.6,201.0
34,CHUBA HUBBARD,RB,CAR,1.4,7.6,22.9,18.1,13.5,10.3,11.2,7.1,19.2,20.9,BYE,14,2.3,16.7,4.9,28.5,-,,13.2,198.6
35,ALVIN KAMARA,RB,NO,17,42,12.7,17.9,6.6,12.4,2.4,12.2,21.5,10.9,8.9,BYE,11.9,7.9,13,-,-,,14.1,197.3
36,AMON-RA ST BROWN,WR,DET,1.3,11.9,13.5,14.8,BYE,9.7,17.2,6.7,11.6,12,27.7,6.2,7.3,5.3,23.3,13,12,,12.1,193.5
37,KIRK COUSINS,QB,ATL,8.2,17.5,12.1,8.5,35.4,12.5,9.2,28.6,17.8,11.2,5.9,BYE,6.1,11.8,7.5,-,-,,13.7,192.3
38,TUA TAGOVAILOA,QB,MIA,18.6,8.5,-,-,-,BYE,-,14.7,17.5,9.2,23.5,28.5,25.2,23.5,6.8,12.5,-,,17.1,188.6
39,DRAKE MAYE,QB,NE,-,-,2.1,-,0,21.5,20.8,11.5,17.7,12.8,19,14.5,20.4,BYE,18.5,18.4,9.9,,14.4,187.1
40,BRIAN THOMAS,WR,JAC,10.7,9.4,4.8,15.9,18.2,2.7,17.1,12,4.2,1.2,8.6,BYE,14.7,8.6,22.5,19.2,16.9,,11.7,186.7
41,DAVID MONTGOMERY,RB,DET,15.3,13,18.2,14,BYE,20,5,13.9,9.6,11.6,21.5,13.3,12.4,14.4,3.5,-,-,,13.3,185.7
42,CHRIS BOSWELL,K,PIT,26,9,8,8,6,17,14,14,BYE,4,24,8,16,11,8,7,4,,11.5,184.0
43,AARON JONES,RB,MIN,16.9,4.8,20.8,13.9,5.3,BYE,17.6,9.5,8.2,10.1,4.3,16.9,6.8,14.4,16.6,9.3,7.7,,11.4,183.1
44,MARKEISE IRVING,RB,TB,7.6,2.2,8.4,11.5,3.6,16.5,13.7,8.4,3.4,14.7,BYE,21.2,24.5,1.8,11.3,15.2,19,,11.4,183.0
